Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Liquid liabilities to GDP (%),GFDD.DI.05,13.45041,14.53441,17.19512,14.4645,16.68889,15.57395,11.20794,9.342628,13.29045,15.28707,13.20332,14.03642,18.35376,18.18398,16.59227,16.99455,19.54652,21.64906,22.52572,24.54239,28.85716,31.60955,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.49449,27.73951,29.28606,33.30402,36.06937,37.24286,32.76096,33.32521,34.01956,33.82253,37.22271,36.86128,36.60749,34.9591,37.20945,..
Albania,ALB,Account at a formal financial institution (% age 15+),GFDD.AI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.26813,..,..,37.98635,..,..,39.3175,..,..,..,44.17417
Albania,ALB,"Bank accounts per 1,000 adults",GFDD.AI.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1109.4239,1093.8435,1051.9623,1094.8483,1133.1195,..
Albania,ALB,Bank deposits to GDP (%),GFDD.OI.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.24287,29.55024,31.92305,37.97531,44.48563,47.68661,45.66356,48.68773,45.41947,46.96875,49.49909,52.80478,57.65782,62.41558,57.3421,57.90776,63.32483,67.28407,69.8149,70.35517,70.04085,68.59187,68.64949,64.34592,60.41314,60.71103,67.65973,64.32858
Albania,ALB,Central bank assets to GDP (%),GFDD.DI.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.9519,22.53627,16.95704,28.48758,24.69372,17.07625,16.62397,14.50006,14.09178,11.97431,9.651939,9.189349,8.40533,8.215148,7.829318,7.326433,5.541931,5.343606,5.249811,5.082034,5.276285,5.354491,3.735874,3.518524,3.510658,3.389089,4.226071,3.572487
Albania,ALB,Credit card (% age 15+),GFDD.AI.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.59313,..,..,5.661906,..,..,8.016603,..,..,..,4.943792
Albania,ALB,Credit to government and state-owned enterprises to GDP (%),GFDD.EI.08,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.45245,50.31882,43.64244,33.54047,33.33377,33.59151,31.4507,30.52274,28.98522,29.23848,29.17292,27.34675,27.7209,26.78846,25.33599,24.92359,24.27309,25.2794,24.7477,26.00121,26.25305,23.90911,24.6394,24.53494,23.53838,24.00562,26.7647,..
Albania,ALB,Credit flows by fintech and bigtech companies to GDP (%),GFDD.DM.16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Deposit money bank assets to deposit money bank assets and central bank assets (%),GFDD.DI.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.31802,70.58632,73.44514,56.80686,60.10012,68.82464,68.60171,71.69236,71.5622,75.49699,80.08146,82.29821,85.61717,87.34673,88.56968,89.38724,91.75062,92.35944,92.38214,92.63004,92.34568,91.71468,94.06599,94.19537,93.9041,94.23023,93.56905,94.36052
Albania,ALB,Insurance company assets to GDP (%),GFDD.DI.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1387429,..,1.3123111,1.3836992,1.436601,1.4185228,1.4551751,1.4891312,1.5263229,1.6176406,1.7523666,1.9249897,1.9981268,1.9720129,1.9253553,2.2937075,2.4027192,..
Albania,ALB,Gross portfolio debt assets to GDP (%),GFDD.DM.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8419388,1.192739,1.233491,2.019677,2.462609,3.918897,5.083622,5.720746,4.51032,6.048731,5.143755,5.348466,6.262567,9.207189,..
Albania,ALB,Liquid liabilities to GDP (%),GFDD.DI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.76496,48.44382,46.22337,59.92533,62.23912,66.02231,65.46322,69.82247,66.85226,65.44225,68.22042,71.41761,76.36533,78.46536,75.48072,59.0378,64.35965,68.69024,71.21796,72.56398,73.43582,72.90962,74.61969,71.45648,68.48411,69.82919,77.39526,74.46411
Algeria,DZA,Account at a formal financial institution (% age 15+),GFDD.AI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.28611,..,..,50.47579,..,..,42.77663,..,..,..,44.09702
Algeria,DZA,"Bank accounts per 1,000 adults",GFDD.AI.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Bank deposits to GDP (%),GFDD.OI.02,..,..,..,..,8.472102,9.034618,10.95957,15.74481,21.09704,21.98994,20.90337,21.12465,25.51581,23.35939,26.50241,30.47583,35.05826,35.01158,36.90037,33.98301,32.55385,33.10235,43.74326,46.70176,49.82228,52.07476,50.16891,56.21522,58.2298,51.68644,43.92749,33.45822,27.25068,32.59271,29.85962,24.50037,21.78938,23.91127,28.57152,28.67068,26.14624,40.59793,45.39818,45.21692,42.39005,37.78471,40.9648,46.19802,44.71291,48.66047,44.98983,43.06861,41.27208,43.42392,49.44395,49.87261,46.48419,48.7765,49.58972,48.01913,53.93711,51.51547
Algeria,DZA,Central bank assets to GDP (%),GFDD.DI.06,..,..,..,..,11.23046,12.66544,11.43051,7.436634,7.407796,8.083198,10.90491,12.92589,7.938466,2.696038,1.551544,1.491307,4.184824,7.751311,14.84215,11.45012,12.35631,5.315927,7.980732,12.65469,14.99242,14.48628,22.2323,26.38024,30.03451,26.17814,17.82918,11.66562,15.14804,23.01727,17.18489,12.14126,7.038949,6.393389,6.179602,5.051198,4.095623,3.466281,2.999089,2.740328,2.016596,1.654364,8.655043,0.0794927,0.0577167,0.0756455,0.0773756,0.0678238,0.0680435,0.0408433,0.0434778,0.0414629,0.0350779,13.20188,27.27703,32.01483,35.70337,31.21432
Algeria,DZA,Credit card (% age 15+),GFDD.AI.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.160297,..,..,6.074818,..,..,3.235607,..,..,..,2.766487
Algeria,DZA,Credit to government and state-owned enterprises to GDP (%),GFDD.EI.08,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.211077,3.382768,3.435453,3.92469,5.01402,5.766804,6.644976,6.480972,6.073627,5.110143,8.08622,3.728315,33.92069,37.28133,27.81081,30.81173,30.36467,32.57956,35.76546,37.56185,27.4194,36.22748,35.1901,31.31682,27.72717,23.84563,23.39024,21.20873,17.63616,23.55731,21.93333,21.82791,21.97769,23.34778,27.95268,33.40324,37.49484,33.82284,34.39246,38.9275,45.65574,..
Algeria,DZA,Credit flows by fintech and bigtech companies to GDP (%),GFDD.DM.16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Deposit money bank assets to deposit money bank assets and central bank assets (%),GFDD.DI.04,..,..,..,..,44.95413,40.58244,40.74426,63.51648,72.10107,75.18571,67.00739,66.64554,82.5356,93.88017,96.92854,97.38251,93.33187,87.46246,79.38906,82.99374,80.65383,91.29498,89.12946,84.47339,82.82836,83.70199,77.50652,74.32403,71.28188,72.34232,78.3101,80.79305,73.01772,65.53322,66.63146,74.76546,83.54134,85.0892,86.70982,89.46928,89.06787,92.72879,94.04404,93.94376,95.04723,95.57029,80.39911,99.76729,99.81059,99.81031,99.79201,99.80945,99.81128,99.89756,99.90615,99.92479,99.94191,81.51266,68.52157,66.8563,67.85996,69.88885
Algeria,DZA,Insurance company assets to GDP (%),GFDD.DI.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3289681,1.3070427,..,..,..,..,0.76338248,0.82648286,..,1.0963255,1.1518681,1.1421688,1.1135747,1.2059719,1.386642,1.5094342,1.5150759,1.4504262,..,..,..,..
Algeria,DZA,Gross portfolio debt assets to GDP (%),GFDD.DM.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Liquid liabilities to GDP (%),GFDD.DI.05,..,..,..,..,23.48546,23.61148,26.42276,30.56921,35.87379,36.5221,35.91478,38.00527,43.32005,42.5556,50.80467,55.36705,60.26257,59.55167,64.32201,62.15166,57.56246,56.99948,66.42101,70.99957,73.78439,76.76955,76.53944,82.47394,84.25798,73.01318,61.92713,48.1069,50.66121,49.10256,45.4436,36.90268,33.00584,36.08158,42.37712,42.07777,37.82976,54.33134,60.30313,60.34156,56.6909,50.17707,53.80409,60.04026,58.82249,67.40389,62.92138,60.97169,59.63226,62.83195,70.8328,74.55348,72.23631,73.84113,76.15809,74.72868,87.61681,81.3728
Andorra,AND,Account at a formal financial institution (% age 15+),GFDD.AI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Bank accounts per 1,000 adults",GFDD.AI.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Bank deposits to GDP (%),GFDD.OI.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Central bank assets to GDP (%),GFDD.DI.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Credit card (% age 15+),GFDD.AI.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Credit to government and state-owned enterprises to GDP (%),GFDD.EI.08,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Credit flows by fintech and bigtech companies to GDP (%),GFDD.DM.16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Deposit money bank assets to deposit money bank assets and central bank assets (%),GFDD.DI.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Insurance company assets to GDP (%),GFDD.DI.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Gross portfolio debt assets to GDP (%),GFDD.DM.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Liquid liabilities to GDP (%),GFDD.DI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Account at a formal financial institution (% age 15+),GFDD.AI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.20354,..,..,29.31812,..,..,..,..,..,..,..
Angola,AGO,"Bank accounts per 1,000 adults",GFDD.AI.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Bank deposits to GDP (%),GFDD.OI.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.02488,15.52524,16.42821,17.66536,18.84872,13.94027,16.8162,12.91612,10.70298,9.946123,10.2368,12.89404,15.2673,19.40754,38.22892,31.10098,31.37027,29.04334,31.07033,33.2584,38.15775,36.74832,30.10038,29.15427,31.76875,36.41713,22.58882
Angola,AGO,Central bank assets to GDP (%),GFDD.DI.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.1068,4.638174,4.912676,13.01777,27.14766,1.873905,1.048133,4.086266,2.033262,1.340757,0.8717156,0.8352115,0.7088328,0.5139657,1.27879,0.9009507,3.527955,2.527437,1.864215,1.69617,1.78418,3.255429,4.480846,2.891808,3.041789,4.102101,3.214575
Angola,AGO,Credit card (% age 15+),GFDD.AI.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.48596,..,..,4.41287,..,..,..,..,..,..,..
Angola,AGO,Credit to government and state-owned enterprises to GDP (%),GFDD.EI.08,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.932988,0.1005012,0.2730568,1.773033,0.3501329,0.1784093,0.2743184,0.4632297,1.556458,2.83715,3.274846,1.639996,4.079614,12.97667,17.3223,9.437669,8.788699,7.731869,9.504602,12.7333,17.34805,20.13567,18.87967,17.8529,16.92577,20.7012,..
Angola,AGO,Credit flows by fintech and bigtech companies to GDP (%),GFDD.DM.16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Deposit money bank assets to deposit money bank assets and central bank assets (%),GFDD.DI.04,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.61995,41.57405,52.83687,30.42027,9.799127,53.82946,78.9985,48.81592,73.09637,84.35313,89.55731,90.61388,95.1316,97.9822,96.91541,97.37198,89.06676,92.00002,94.3792,95.05722,95.86449,92.48722,88.5927,91.82606,91.30259,89.16698,86.6516
Angola,AGO,Insurance company assets to GDP (%),GFDD.DI.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.4997124,3.9357375,..,..,..,1.1498227,0.90299904,1.0048041,0.79163007,1.5789696,1.7763424,1.5246655,1.2892809,1.3444123,1.4472254,1.8404996,1.331796,1.509168,1.2579609,..,..,..
Angola,AGO,Gross portfolio debt assets to GDP (%),GFDD.DM.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0485466,0.0985245,0.0995673,0.0924345,0.0568023,..,0.0001972,0.0043823,0.0253272,..
Angola,AGO,Liquid liabilities to GDP (%),GFDD.DI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.48713,27.57757,22.61548,24.43704,22.84935,17.28056,20.99253,16.07836,13.38826,12.38609,12.1416,14.62271,17.03642,21.33171,41.30714,33.87183,33.38961,31.07845,33.1903,35.67548,38.08499,36.65786,29.97325,29.02633,31.44369,35.91101,22.27298
Antigua and Barbuda,ATG,Account at a formal financial institution (% age 15+),GFDD.AI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Bank accounts per 1,000 adults",GFDD.AI.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Bank deposits to GDP (%),GFDD.OI.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.74725,53.83107,42.71386,41.33825,38.58807,36.66319,38.14691,39.41753,44.59871,40.10985,38.54003,37.74991,44.73005,44.46531,45.50521,45.53455,50.75365,53.88372,54.44466,53.84791,65.93112,59.23294,59.4419,63.6456,76.18304,75.15763,81.90885,84.5531,93.06409,91.63269,89.71767,88.23092,87.38882,86.3748,86.38249,92.88503,95.47834,93.22255,95.54,91.25778,90.23624,82.66156,86.84058,85.12023,80.45354,89.53429,95.10706
Antigua and Barbuda,ATG,Central bank assets to GDP (%),GFDD.DI.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.128133,3.198978,2.757583,2.638719,2.125861,2.649214,2.40449,2.604326,2.35019,5.774693,5.219296,4.731379,3.995848,3.767746,3.246508,3.690562,3.438002,2.677551,2.733828,2.458988,2.098003,1.712614,1.558974,1.362154,1.22284,1.635163,1.600032,1.184939,1.151713,0.8950353,0.8026604,0.6602126,0.1725256,0.5210768,2.998689,3.773339,3.913083,3.441777,2.986456,2.876562,2.483798,1.873888,2.081498,1.754039,1.646019,4.14262,2.945134
Antigua and Barbuda,ATG,Credit card (% age 15+),GFDD.AI.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Credit to government and state-owned enterprises to GDP (%),GFDD.EI.08,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.59318,9.214057,10.85676,8.721422,7.763505,7.384688,7.702486,9.086394,8.88684,8.717649,7.565576,6.635209,7.825176,8.913909,8.443568,12.65993,11.39449,12.28052,14.25767,16.76748,16.52571,16.33877,16.81157,15.81907,15.28802,13.70897,13.65034,14.56211,17.73754,21.51002,19.78739,20.89698,19.849,20.92076,19.71787,16.83392,14.97388,15.58815,14.774,12.96834,15.79314,..
Antigua and Barbuda,ATG,Credit flows by fintech and bigtech companies to GDP (%),GFDD.DM.16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
